clip_id,reasons,bad_file_count
0370efe4-229d-48d6-b65e-f19df81d09b0,Too small,1
03768bfb-52ac-4053-bfd2-4a0211801f70,Too small,1
03779f47-cb4b-4801-9cce-a44736072576,Too small,1
0377fd2a-5c10-4a30-ad44-aae30f5b81a7,Too small,2
03783f3b-f11a-47e4-8c9a-c9d44ffc481b,Too small,1
037c7db5-732d-4a08-b3ae-243f1aba2de2,Too small,1
037dc0a3-3294-4e84-9db9-85ecaaae37f8,Too small,1
0382c27a-a6de-479e-9fee-5fd2647c204b,Too small,1
03869376-b94c-461d-b247-eeb14f74593c,Too small,1
038793dc-4e8e-43aa-a95c-30e4b28504d3,Too small,2
03886458-5923-4601-a401-80cbbd394364,Too small,1
03887a60-496e-46d0-aef1-84f820f19bb2,Too small,1
0389531c-5ca4-4393-8ebe-839e13d24059,Too small,2
038bc75d-a869-4079-9bb1-238522e3ae91,Too small,2
038e9771-2c9f-467f-bee8-4cf501893a98,Too small,1
038f3b85-e044-4166-9958-40316e6a7e44,Too small,1
038ff2db-c1d9-4408-8eb1-9dcb7d8a8264,Too small,1
0392ebd4-3dda-4964-af60-470b7b647a30,Too small,1
03981aac-ebc0-4ba5-be12-31bc61199128,Too small,1
039f0e60-81d4-4a78-b996-faec2efcc1f7,Too small,1
03a24529-1068-43be-8785-3cd7d92200c9,Too small,1
03a4c16e-277e-4cd3-8b10-d5b6400dc740,Too small,2
03a55f79-3f67-4087-94df-a6b27757e247,Too small,2
03a64d7e-d2c4-4f7c-a22d-74d9fe90bbe2,Too small,1
03a769fb-3ab9-4319-a48b-469afd023437,Too small,1
03aa7548-7cfc-4c21-a88b-c9459ff46199,Too small,1
03ab339e-02d7-4d63-b3c5-626ecb7271e5,Too small,2
03ad5aec-7450-4542-9905-0abda696a35d,Too small,1
03afb651-28c2-40e7-9614-b3bbda3c2256,Too small,1
03b172e7-3eae-4c3b-8fc2-178740fc5ceb,Too small,2
03b74991-2643-47a6-99d1-453ee55af605,Too small,1
03b7dadc-61c5-4fff-9c04-7d4e1ce96e1f,Too small,2
03b953bd-e17c-45fc-b9be-2ab9db952f66,Too small,1
03ba8575-48cc-4d1d-81be-b89a4962f74c,Too small,1
03bb4430-2dac-4015-a909-3bcfd360b3b9,Too small,1
03bc1142-3667-4d0f-a3b3-04cef667dabe,Too small,2
03bf41d5-97f7-4acc-ab66-b257fb708bb6,Too small,1
03c2f216-9ad9-4732-b98d-9c8c815591d9,Too small,2
03c65449-072f-494d-b012-d259af2e5e09,Too small,2
